Name,Episodes,Released Year,Language,Rating,Ranking
Nine: Nine Times Time Travel,20,2013,Korean,8.3,850
Come and Hug Me,32,2018,Korean,8.3,853
P.S. I Hate You,18,2022,Thai,8.3,856
Ugly Alert,133,2013,Korean,8.3,859
Side Story of Fox Volant,40,2022,Chinese,8.3,860
Daughters,24,2020,Thai,8.3,863
Saka no Tochu no Ie,6,2019,Japanese,8.3,864
The Forbidden Flower,24,2023,Chinese,8.3,866
Player,14,2018,Korean,8.3,868
Divorce Attorney Shin,12,2023,Korean,8.3,869
The Veil,12,2021,Korean,8.3,870
Bitter Blood,11,2014,Japanese,8.3,872
Don't Disturb My Study,24,2021,Chinese,8.3,875
Koi Desu: Yankee-kun to Hakujou Garu,10,2021,Japanese,8.3,877
Moonlight,36,2021,Chinese,8.3,878
Nijiiro Karute,9,2021,Japanese,8.3,879
Pride,11,2004,Japanese,8.3,880
Good Doctor,20,2013,Korean,8.3,881
Voice Season 3: City of Accomplices,16,2019,Korean,8.3,882
God's Quiz: Reboot,16,2018,Korean,8.3,884
Call It Love,16,2023,Korean,8.3,885
Hit the Spot,8,2022,Korean,8.3,887
He Is Psychometric,16,2019,Korean,8.3,889
"At a Distance, Spring Is Green",12,2021,Korean,8.3,890
Class of Lies,16,2019,Korean,8.3,892
Cold Case: Shinjitsu no Tobira,10,2016,Japanese,8.3,895
100 Days My Prince,16,2018,Korean,8.3,898
Tengoku to Jigoku: Psychona Futari,10,2021,Japanese,8.3,899
Vampire Prosecutor 2,11,2012,Korean,8.3,901
The Beauty Inside,16,2018,Korean,8.3,903
Confession,16,2019,Korean,8.3,905
Psychopath Diary,16,2019,Korean,8.3,906
True Beauty,16,2020,Korean,8.3,907
City Hunter,20,2011,Korean,8.3,908
God's Gift: 14 Days,16,2014,Korean,8.3,909
Perfect and Casual,24,2020,Chinese,8.3,911
We Best Love: No. 1 For You,6,2021,Taiwanese,8.3,912
Bokura wa Kiseki de Dekite Iru,10,2018,Japanese,8.3,917
Who Are You,18,2020,Thai,8.3,918
JIN,11,2009,Japanese,8.3,919
The Oath of Love,32,2022,Chinese,8.3,920
Team Bulldog: Off-duty Investigation,12,2020,Korean,8.3,921
The Tale of Nokdu,32,2019,Korean,8.3,922
Justice in the Dark,8,2023,Chinese,8.3,926
Jun Jiu Ling,40,2021,Chinese,8.3,929
Kounodori,10,2015,Japanese,8.3,930
Be Reborn,26,2022,Chinese,8.3,931
My Girlfriend Is an Alien Season 2,30,2022,Chinese,8.3,932
A Love So Beautiful,23,2017,Chinese,8.3,934
My Fated Boy,29,2021,Chinese,8.3,935
Nobunaga Concerto,11,2014,Japanese,8.3,939
Love O2O,30,2016,Chinese,8.3,940
Bloody Monday,11,2008,Japanese,8.3,941
Kamen Rider Build,49,2017,Japanese,8.3,942
My Girlfriend Is an Alien,28,2019,Chinese,8.3,943
Three Kingdoms,95,2010,Chinese,8.3,944
She Makes My Heart Flutter,5,2022,Korean,8.3,945
HiGH&LOW,10,2015,Japanese,8.3,946
Kieta Hatsukoi,10,2021,Japanese,8.3,950
A League of Nobleman,29,2023,Chinese,8.3,951
The Gifted Graduation,13,2020,Thai,8.3,954
Delicious Romance,20,2021,Chinese,8.3,955
SPEC: Birth,10,2010,Japanese,8.3,958
One Spring Night,32,2019,Korean,8.3,959
The Hymn of Death,6,2018,Korean,8.3,961
Voice Season 4: Judgment Hour,14,2021,Korean,8.3,963
Nothing But You,38,2023,Chinese,8.3,964
Young Blood,42,2019,Chinese,8.3,965
Hua Jai Sila,27,2019,Thai,8.3,967
Five Enough,54,2016,Korean,8.3,969
Rookie Cops,16,2022,Korean,8.3,970
Iljimae,20,2008,Korean,8.3,971
Legal High 2,10,2013,Japanese,8.3,972
Gu Family Book,24,2013,Korean,8.3,975
The Nokdu Flower,48,2019,Korean,8.3,976
