Name,Episodes,Released Year,Language,Rating,Ranking
Let Me Introduce Her,40,2018,Korean,7.6,4523
Six Love Story,4,2018,Korean,7.6,4524
Piece,13,2012,Japanese,7.6,4527
Hanasaki Mai ga Damattenai,10,2014,Japanese,7.6,4528
Gye Baek,36,2011,Korean,7.6,4529
Drinking Solo,16,2016,Korean,7.6,4530
Only Side by Side with You,40,2018,Chinese,7.6,4531
I Cannot Hug You Season 2,16,2018,Chinese,7.6,4533
Neko,6,2020,Japanese,7.6,4534
Saki,11,2013,Japanese,7.6,4535
Sm:)e,24,2018,Chinese,7.6,4537
Hello My Girl,24,2022,Chinese,7.6,4539
Real:Time:Love Season 3,8,2020,Korean,7.6,4540
Obsessed with Heart,11,2018,Chinese,7.6,4542
Protect the Boss,18,2011,Korean,7.6,4544
Utahime,11,2007,Japanese,7.6,4546
Garasu no Ashi,4,2015,Japanese,7.6,4547
The Best Partner,42,2019,Chinese,7.6,4548
Diary of Tootsies Season 2,12,2017,Thai,7.6,4549
Longing for You,14,2023,Korean,7.6,4550
Ugly Beauty,24,2021,Chinese,7.6,4551
Ms. Temper & Nam Jung Gi,16,2016,Korean,7.6,4552
Oops! The King Is in Love,24,2020,Chinese,7.6,4554
Summer's Desire,14,2010,Taiwanese,7.6,4556
Divine Destiny,36,2023,Chinese,7.6,4558
Sword of Legends Season 2,48,2018,Chinese,7.6,4559
Follow My Dear General,31,2022,Chinese,7.6,4562
Melting Me Softly,16,2019,Korean,7.6,4563
The Legend of Zu,56,2015,Chinese,7.6,4564
The Spring Day of My Life,16,2014,Korean,7.6,4565
Shigatsu no Tokyo wa...,8,2023,Japanese,7.6,4566
Khun Chai Ratchanon,11,2013,Thai,7.6,4568
Pleasantly Surprised,22,2014,Taiwanese,7.6,4570
My Queen,24,2021,Chinese,7.6,4571
Dance of the Phoenix,30,2020,Chinese,7.6,4573
Down With Love,16,2010,Taiwanese,7.6,4574
Takara-kun to Amagi-kun,8,2022,Japanese,7.6,4575
Temptation of Wife,129,2008,Korean,7.6,4582
Kurokouchi,10,2013,Japanese,7.6,4583
IN-SEOUL,15,2019,Korean,7.6,4584
Love Rain,20,2012,Korean,7.6,4587
I Give My First Love to You,7,2019,Japanese,7.6,4588
Our Relationship Ended Before It Began,4,2022,Korean,7.6,4589
Red Eyes: Kanshi Sousa-han,10,2021,Japanese,7.6,4590
Yamada Taro Monogatari,10,2007,Japanese,7.6,4594
Umi no Ue no Shinryoujo,11,2013,Japanese,7.6,4595
Legend of Lin Ye,34,2023,Chinese,7.6,4597
Promise in the Summer,24,2023,Chinese,7.6,4598
HIStory4: Close to You,20,2021,Taiwanese,7.6,4599
22 Flower Road,12,2019,Korean,7.6,4601
Scent of Love,14,2022,Chinese,7.6,4603
The Demon Master,46,2018,Chinese,7.6,4607
Sisters-in-Law,100,2017,Korean,7.6,4608
Kamen Rider Kiva,48,2008,Japanese,7.6,4609
Last Minute Romance,10,2017,Korean,7.6,4612
Aishiteiru to Ittekure,12,1995,Japanese,7.6,4613
The Fabulous,8,2022,Korean,7.6,4614
Please Love Me,24,2019,Chinese,7.6,4615
Love & Wish,9,2021,Korean,7.6,4616
Leh Ruk Bussaba,15,2018,Thai,7.6,4617
"To Me, It's Simply You",13,2021,Thai,7.6,4619
Friend Zone 2: Dangerous Area,16,2020,Thai,7.6,4620
Triangle,26,2014,Korean,7.6,4621
Coffee Ikaga Deshou,8,2021,Japanese,7.6,4624
Ab Ruk Online,15,2015,Thai,7.6,4626
Somewhere Only We Know,24,2019,Chinese,7.6,4628
Hello There,20,2023,Chinese,7.6,4630
Payu Sai,14,2021,Thai,7.6,4633
Kingyo Club,10,2011,Japanese,7.6,4635
Game Maya,17,2017,Thai,7.6,4636
Ruk Tong Oom,15,2014,Thai,7.6,4638
My Bargain Queen,40,2021,Chinese,7.6,4639
Akagi,10,2015,Japanese,7.6,4640
Unicorn ni Notte,10,2022,Japanese,7.6,4641
The Best Moment To Quit Your Job,8,2017,Korean,7.6,4643
My Ambulance,16,2019,Thai,7.6,4645
Biblia Koshodou no Jiken Techou,11,2013,Japanese,7.6,4646
Twelve Legends,32,2021,Chinese,7.6,4647
Everyone Wants To Meet You,36,2020,Chinese,7.6,4648
Palace of Devotion,61,2021,Chinese,7.6,4653
The Way You Shine,24,2023,Taiwanese,7.6,4656
Amensalism,13,2020,Taiwanese,7.6,4657
Brilliant Girls,43,2021,Chinese,7.6,4658
Show Window: The Queen's House,16,2021,Korean,7.6,4661
Dear Prince,19,2017,Chinese,7.6,4662
Sapai Jao Sua,28,2021,Thai,7.6,4664
Informa,10,2023,Japanese,7.6,4666
Pasta,20,2010,Korean,7.6,4667
"Shiro demo Kuro demonai Sekai de, Panda wa Warau",10,2020,Japanese,7.6,4668
Top Star Yoo Baek,11,2018,Korean,7.6,4671
My Romantic Some Recipe,6,2016,Korean,7.6,4672
The Little Wife of the General,24,2022,Chinese,7.6,4673
KO One Return,30,2012,Taiwanese,7.6,4674
Wedding Plan,7,2023,Thai,7.6,4675
The Cupids Series: Kamathep Online,9,2017,Thai,7.6,4676
Code Blue: Another Everyday,5,2018,Japanese,7.6,4679
Ooku: The Inner Chamber,10,2012,Japanese,7.6,4680
Obstetrics and Gynecology Doctors,16,2010,Korean,7.6,4681
The Prince Who Turns into a Frog,20,2005,Taiwanese,7.6,4682
Forget You Remember Love,38,2020,Chinese,7.6,4683
Kou Kou Kyoushi,11,1993,Japanese,7.6,4684
Surgeon Bong Dal Hee,18,2007,Korean,7.6,4685
Love Generation,11,1997,Japanese,7.6,4686
My Name Is Busaba,16,2020,Thai,7.6,4688
Mia 2018,28,2018,Thai,7.6,4690
Sagideka,5,2019,Japanese,7.6,4693
Ando Lloyd - A.I. Knows Love ?,10,2013,Japanese,7.6,4697
A Pledge to God,48,2018,Korean,7.6,4699
Love Is Written in the Stars,24,2023,Chinese,7.6,4703
Our Shiny Days,24,2019,Chinese,7.6,4704
My Secret Romance,13,2017,Korean,7.6,4705
"Komi-san wa, Komyushou Desu",8,2021,Japanese,7.6,4707
Underwear,13,2015,Japanese,7.6,4708
Turn Left Turn Right,10,2020,Thai,7.6,4711
"Love, Now",72,2012,Taiwanese,7.6,4713
Nothing But You,24,2022,Chinese,7.6,4714
Channel wa Sonomama!,5,2019,Japanese,7.6,4715
Moorim School,16,2016,Korean,7.6,4717
Hello Procurator,42,2021,Chinese,7.6,4718
That Fool,16,2009,Korean,7.6,4719
Guardian of the Sea,10,2017,Thai,7.6,4720
What's Your Blood Type?,7,2016,Korean,7.6,4723
S: Saigo no Keikan,10,2014,Japanese,7.6,4724
Star and Sky: Sky in Your Heart,8,2022,Thai,7.6,4725
Minami-kun no Koibito - My Little Lover,10,2015,Japanese,7.6,4727
Fifteen Years to Wait for Migratory Birds,24,2016,Chinese,7.6,4728
To Be a Brave One,36,2022,Chinese,7.6,4729
Enemies from the Past,123,2017,Korean,7.6,4733
King Geun Cho Go,60,2010,Korean,7.6,4734
So Wayree,15,2020,Thai,7.6,4735
Dinner,11,2013,Japanese,7.6,4738
Watashi no Kaseifu Nagisa-san,9,2020,Japanese,7.6,4744
Final Cut,9,2018,Japanese,7.6,4746
TharnType Season 2: 7 Years of Love,12,2020,Thai,7.6,4747
Sachiiro no One Room,10,2018,Japanese,7.6,4751
My Only One,106,2018,Korean,7.6,4752
My Dear Boy,20,2017,Taiwanese,7.6,4754
Waking Love Up,40,2011,Chinese,7.6,4759
A Life,10,2017,Japanese,7.6,4760
Color Rush,8,2020,Korean,7.6,4761
Golden Pouch,122,2016,Korean,7.6,4764
Boukyaku no Sachiko,12,2018,Japanese,7.6,4765
Zettai Reido,11,2010,Japanese,7.6,4767
Really Meet Love That Day,40,2021,Chinese,7.6,4768
Morrasoom Sawat,16,2015,Thai,7.6,4769
Love Forever After,30,2022,Thai,7.6,4772
Aikurushii,11,2005,Japanese,7.6,4773
Hi Flower,18,2017,Chinese,7.6,4775
Second Husband,150,2021,Korean,7.6,4777
Kizoku Tantei,11,2017,Japanese,7.6,4780
Viva Femina,35,2023,Chinese,7.6,4781
At Home Dad,12,2004,Japanese,7.6,4782
Henshin,5,2014,Japanese,7.6,4784
Career,10,2016,Japanese,7.6,4785
Roy Ruk Hak Liam Tawan,11,2014,Thai,7.6,4787
Senior Secret Love: Bake Me Love,6,2016,Thai,7.6,4789
Hidarime Tantei EYE,8,2010,Japanese,7.6,4791
Star and Sky: Star in My Mind,8,2022,Thai,7.6,4792
My Fairy Doctor,34,2022,Chinese,7.6,4793
Mint to Be,10,2018,Thai,7.6,4794
Sassy Beauty,24,2022,Chinese,7.6,4795
Miss Pilot,11,2013,Japanese,7.6,4796
Ku Kaen San Ruk,19,2011,Thai,7.6,4805
The Weasel Grave,20,2017,Chinese,7.6,4807
Heard It Through the Grapevine,30,2015,Korean,7.6,4809
Koshonin,8,2008,Japanese,7.6,4811
MOZU Season 2: Maboroshi no Tsubasa,5,2014,Japanese,7.6,4812
Fantastic,16,2016,Korean,7.6,4813
A Thousand Days' Promise,20,2011,Korean,7.6,4814
My Poseidon,34,2019,Chinese,7.6,4815
Q Series: Life Plan A and B,6,2016,Taiwanese,7.6,4817
"Bad Thief, Good Thief",50,2017,Korean,7.6,4818
The Gravity of a Rainbow,40,2019,Chinese,7.6,4821
The Queen of Attack Season 2,18,2021,Chinese,7.6,4822
Office Girls,25,2011,Taiwanese,7.6,4823
Dear Mr. Heavenly Fox,30,2023,Chinese,7.6,4824
Ultraman X,22,2015,Japanese,7.6,4828
"Father, Ill Take Care of You",50,2016,Korean,7.6,4829
Proposal Daisakusen,11,2007,Japanese,7.6,4830
Eccentric! Chef Moon,16,2020,Korean,7.6,4831
Gay OK Bangkok 2,7,2017,Thai,7.6,4832
Zenkai Girl,11,2011,Japanese,7.6,4834
Let's Go Crazy on LIVE,20,2019,Taiwanese,7.6,4835
Raise de wa Chanto Shimasu Season 2,8,2021,Japanese,7.6,4836
Marn Bang Jai,15,2020,Thai,7.6,4839
Perfect Couple,45,2014,Chinese,7.6,4840
Behind Every Star,12,2022,Korean,7.6,4841
Dung Duang Haruetai,13,2020,Thai,7.6,4843
Chuamong Tong Mon,14,2018,Thai,7.6,4844
In Love With Your Dimples,24,2021,Chinese,7.6,4845
All In,24,2003,Korean,7.6,4849
Shojiki Fudosan,10,2022,Japanese,7.6,4850
Bunlang Dok Mai,14,2017,Thai,7.6,4852
Well-Intended Love Season 2,16,2020,Chinese,7.6,4853
Sa Kao Duen,15,2018,Thai,7.6,4855
Onzoshi Boys,18,2019,Japanese,7.6,4856
Ossan's Love,7,2018,Japanese,7.6,4857
Eizouken ni wa Te o Dasu na!,6,2020,Japanese,7.6,4860
What's Up?,20,2011,Korean,7.6,4862
Kor Kerd Mai Klai Klai Ter,13,2020,Thai,7.6,4863
Beyond the Clouds,16,2014,Korean,7.6,4867
The Ingenuity of the House Husband,10,2021,Japanese,7.6,4868
Views of Love: Grey Rainbow,4,2016,Thai,7.6,4869
Kimi to Sekai ga Owaru Hi ni,10,2021,Japanese,7.6,4870
Believe in Love,24,2022,Chinese,7.6,4871
Switch Girl!! Season 2,8,2012,Japanese,7.6,4872
Be Yourself,14,2022,Chinese,7.6,4874
Lost in the Kunlun Mountains,36,2022,Chinese,7.6,4875
21 Days Theory,4,2022,Thai,7.6,4879
Youtuber Class,4,2020,Korean,7.6,4880
My Neighbour Can't Sleep,24,2019,Chinese,7.6,4881
Hi! School - Love On,20,2014,Korean,7.6,4882
You Touched My Heart,18,2023,Thai,7.6,4883
Good Morning Call: Our Campus Days,10,2017,Japanese,7.6,4886
Want More 19,7,2018,Korean,7.6,4887
So It's You,26,2022,Chinese,7.6,4889
Ao no SP: Gakko nai Keisatsu Shimada Ryuhei,10,2021,Japanese,7.6,4890
Liver or Die,40,2019,Korean,7.6,4894
"Remember, Hari 2",8,2019,Korean,7.6,4896
Red Balloon,8,2017,Taiwanese,7.6,4897
King Is Not Easy,20,2017,Chinese,7.6,4899
All About Eve,20,2000,Korean,7.6,4901
The Underclass,13,2020,Thai,7.6,4902
Suddenly This Summer,30,2018,Chinese,7.6,4903
"Remember, Hari",12,2018,Korean,7.6,4905
Seishun Cinderella,10,2022,Japanese,7.6,4906
Return of the Heiress,50,2013,Chinese,7.6,4907
Top Management,16,2018,Korean,7.6,4908
"One Boat, One World",43,2021,Chinese,7.6,4909
Destiny Seeker,10,2023,Thai,7.6,4911
Prosecutor Princess,16,2010,Korean,7.6,4912
Love Through a Millennium,24,2015,Chinese,7.6,4913
Capital Scandal,16,2007,Korean,7.6,4914
Siege in Fog,50,2018,Chinese,7.6,4915
U-Prince: The Badass Baker,4,2016,Thai,7.6,4917
New Smiling Proud Wanderer,37,2018,Chinese,7.6,4919
Luead Mungkorn: Krating,10,2015,Thai,7.6,4921
Love in Sadness,40,2019,Korean,7.6,4922
Midsummer Is Full of Love,24,2020,Chinese,7.6,4923
Miss in Kiss,39,2016,Taiwanese,7.6,4925
My Dear Loser: Monster Romance,10,2017,Thai,7.6,4926
Step by Step: Uncut Version,12,2023,Thai,7.6,4929
Make a Woman Cry,40,2015,Korean,7.6,4930
Love of Summer Night,24,2020,Chinese,7.6,4932
Bokura no Micro na Shuumatsu,8,2023,Japanese,7.6,4936
Plot Love,24,2021,Chinese,7.6,4937
Seonam Girls High School Investigators,14,2014,Korean,7.6,4938
The Lion's Secret,33,2021,Chinese,7.6,4939
Cleaning Up,16,2022,Korean,7.6,4941
Winter Night,24,2022,Chinese,7.6,4942
Ryu no Michi: Futatsu no Kao no Fukushusha,8,2020,Japanese,7.6,4943
Tempted,32,2018,Korean,7.6,4944
Nightmare Teacher,12,2016,Korean,7.6,4946
The Banker,32,2019,Korean,7.6,4950
Motokare no Yuigonjou,11,2022,Japanese,7.6,4952
The Legend of Qin,58,2015,Chinese,7.6,4953
Something in My Room,10,2022,Thai,7.6,4954
Love Sick,12,2014,Thai,7.6,4955
Love Song,10,2016,Japanese,7.6,4957
Im a Pet at Dali Temple,22,2018,Chinese,7.6,4959
The Queen of Attack,18,2021,Chinese,7.6,4960
Super Daddy Yeol,16,2015,Korean,7.6,4961
Too Late to Say I Love You,36,2010,Chinese,7.6,4963
Fabulous Boys,13,2013,Taiwanese,7.6,4965
Don't Say No,12,2021,Thai,7.6,4966
Love in Time,24,2020,Chinese,7.6,4967
From Survivor to Healer,40,2019,Chinese,7.6,4969
U-Prince: The Ambitious Boss,5,2017,Thai,7.6,4971
See You Again,30,2022,Chinese,7.6,4973
Crime Puzzle,10,2021,Korean,7.6,4974
Samee,14,2013,Thai,7.6,4975
Pin to Kona,10,2013,Japanese,7.6,4976
The Legend of White Snake,36,2019,Chinese,7.6,4979
My Husband Oh Jak Doo,24,2018,Korean,7.6,4982
Stop! Miss Hua,24,2021,Chinese,7.6,4983
Five Missions,15,2018,Taiwanese,7.6,4984
Sekai Ichi Muzukashii Koi,10,2016,Japanese,7.6,4985
"I Hate You, I Love You",5,2016,Thai,7.6,4986
Oh My Drama Lover,24,2020,Chinese,7.6,4988
"Thank You, Doctor",40,2022,Chinese,7.6,4989
Time Teaches Me to Love,24,2018,Chinese,7.6,4990
Love Story of Court Enemies,25,2020,Chinese,7.6,4992
Majo no Jouken,11,1999,Japanese,7.6,4993
Angel 'N' Devil,26,2014,Taiwanese,7.6,4998
Missing Persons,12,2020,Chinese,7.6,4999
Flower Boy Next Door,16,2013,Korean,7.6,5000
Otona Joshi,10,2015,Japanese,7.6,5001
Forward Forever,58,2020,Chinese,7.6,5002
The Fire Series: Fai Ruk Game Rorn,14,2016,Thai,7.6,5003
Zeni Geba,9,2009,Japanese,7.6,5005
Govengers,12,2018,Korean,7.6,5006
The Lost Tomb 2: Explore With the Note,24,2021,Chinese,7.6,5007
Yuube wa Otanoshimi Deshita ne,6,2019,Japanese,7.6,5008
Convenience Store Fling,6,2021,Korean,7.6,5009
Nang Rai Sai Lab,13,2013,Thai,7.6,5013
Dr. Rintaro,10,2015,Japanese,7.6,5015
Yuttakarn Prab Nang Marn,18,2018,Thai,7.6,5017
"Friend, Our Legend",20,2009,Korean,7.6,5018
Youth Unprescribed,24,2020,Chinese,7.6,5019
Ex-Girlfriend Club,12,2015,Korean,7.6,5020
Risou no Musuko,10,2012,Japanese,7.6,5022
Discovery of Romance,16,2014,Korean,7.6,5024
Fragile,10,2016,Japanese,7.6,5026
My Bossy Wife,28,2022,Chinese,7.6,5027
Buried City to Shut All Lights,36,2018,Chinese,7.6,5028
Forecasting Love and Weather,16,2022,Korean,7.6,5030
The X-Family,55,2007,Taiwanese,7.6,5033
Queen Insoo,60,2011,Korean,7.6,5038
Lovely Swords Girl,24,2019,Chinese,7.6,5040
Hello My Shining Love,43,2022,Chinese,7.6,5041
"Haikei, Chichiue-sama",11,2007,Japanese,7.6,5043
Assembly,20,2015,Korean,7.6,5044
Just One Bite: Pilot,2,2018,Korean,7.6,5045
Splendid Politics,50,2015,Korean,7.6,5046
She Is Beautiful,40,2018,Chinese,7.6,5047
Bad Family,16,2006,Korean,7.6,5048
"Yeah, That's How It Is",54,2016,Korean,7.6,5049
Heartstrings,15,2011,Korean,7.6,5051
Fighting Youth,47,2021,Chinese,7.6,5053
The Heirs,20,2013,Korean,7.6,5054
U-Prince: The Single Lawyer,4,2017,Thai,7.6,5055
My Best Friend's Story,38,2020,Chinese,7.6,5056
Watashi no Oyome-kun,11,2023,Japanese,7.6,5058
Voice in the Rain,16,2020,Thai,7.6,5062
To the Beautiful You,16,2012,Korean,7.6,5063
Swallow the Sun,25,2009,Korean,7.6,5065
Silence,19,2006,Taiwanese,7.6,5067
The Charming Step Mom,26,2019,Thai,7.6,5068
Lucky Seven,10,2012,Japanese,7.6,5070
"Love, Timeless",15,2017,Taiwanese,7.6,5072
Flowers in Fog,54,2013,Chinese,7.6,5073
Star in My Heart,16,1997,Korean,7.6,5074
Chinese Paladin Season 5,45,2016,Chinese,7.6,5077
Hi Flower Season 2,17,2017,Chinese,7.6,5078
Demi Gods & Semi Devils,54,2013,Chinese,7.6,5079
Kogure Shashinkan,4,2013,Japanese,7.6,5081
Rang Tawan,14,2016,Thai,7.6,5082
Pretty Li Hui Zhen,46,2017,Chinese,7.6,5083
My Secret Love,12,2022,Thai,7.6,5090
The Night of the Comet,16,2019,Chinese,7.6,5091
Dr. White,10,2022,Japanese,7.6,5093
Hana Nochi Hare: HanaDan Next Season,11,2018,Japanese,7.6,5095
Rarng Ruk Prang Jai,17,2021,Thai,7.6,5096
Tourist,3,2018,Japanese,7.6,5100
Black President,11,2014,Japanese,7.6,5102
Socho Shihatsu no Sappukei,6,2022,Japanese,7.6,5104
Unusual Idol Love,24,2021,Chinese,7.6,5105
Love O'Clock,24,2021,Chinese,7.6,5107
Rak Kan Panlawan,14,2017,Thai,7.6,5108
Invisible,10,2022,Japanese,7.6,5110
Long Love Letter,11,2002,Japanese,7.6,5111
My Fellow Citizens!,36,2019,Korean,7.6,5112
Suparburoot Jorm Jon: Duang Jai Kabot,15,2019,Thai,7.6,5113
Because It's the First Time,8,2015,Korean,7.6,5116
2 Moons 2,12,2019,Thai,7.6,5120
Nice to Meet You,24,2021,Chinese,7.6,5123
The Quiz Show,12,2008,Japanese,7.6,5124
"Lovely, Still",35,2022,Chinese,7.6,5125
All About My Romance,16,2013,Korean,7.6,5126
Rules of Zoovenia,24,2019,Chinese,7.6,5129
New Love Playlist,12,2022,Korean,7.6,5133
Assassin Academy,18,2021,Chinese,7.6,5134
Let Me Off the Earth,45,2020,Korean,7.6,5135
New My Fair Princess,98,2011,Chinese,7.6,5136
Thumping Spike 2,20,2016,Korean,7.6,5138
The Rules of Love Season 2,12,2019,Chinese,7.6,5140
Green Door,6,2019,Taiwanese,7.6,5141
"Soshite, Ikiru",6,2019,Japanese,7.6,5142
Wake Up Ladies Season 2: Very Complicated,10,2020,Thai,7.6,5144
My Story for You,48,2018,Chinese,7.6,5145
The Most Beautiful You in the World,24,2021,Chinese,7.6,5146
The Naked Director Season 2,8,2021,Japanese,7.6,5147
Fabulous 30,76,2014,Taiwanese,7.6,5149
Itoshi Kimi e,11,2004,Japanese,7.6,5150
Our House,9,2016,Japanese,7.6,5153
Paragit Likhit Huajai,16,2017,Thai,7.6,5154
Beautiful Days,24,2001,Korean,7.6,5155
"Meow, the Secret Boy",24,2020,Korean,7.6,5156
Master of Study,16,2010,Korean,7.6,5157
Ima kara Anata wo Kyouhaku Shimasu,9,2017,Japanese,7.6,5159
Pride and Prejudice,21,2014,Korean,7.6,5160
Papa to Musume no Nanokakan,7,2007,Japanese,7.6,5164
Emperor or Boss,18,2021,Chinese,7.6,5165
Love Me in Three Days,24,2022,Chinese,7.6,5167
Destiny's Love,36,2019,Chinese,7.6,5168
The Murder in Kairoutei,12,2022,Chinese,7.6,5169
Sennyuu Tantei Tokage,10,2013,Japanese,7.6,5172
My True Friend,48,2019,Chinese,7.6,5173
Unrequited Love,38,2021,Chinese,7.6,5174
Perfect Wedding,44,2016,Chinese,7.6,5175
Bicheonmu,14,2008,Korean,7.6,5176
Sugarless,12,2012,Japanese,7.5,5177
Simmer Down,40,2022,Chinese,7.5,5178
Praomook,15,2021,Thai,7.5,5179
"Delightful Girl, Choon Hyang",17,2005,Korean,7.5,5180
Here to Heart,48,2018,Chinese,7.5,5181
My Lucky Princess,18,2022,Chinese,7.5,5182
Soul Plate,6,2019,Korean,7.5,5187
Lucky With You,40,2021,Chinese,7.5,5189
Prince of Wolf,18,2016,Taiwanese,7.5,5191
Love in Flames of War,43,2022,Chinese,7.5,5192
Stairway to Stardom,50,2017,Chinese,7.5,5194
Dear Little Mermaid,24,2022,Chinese,7.5,5195
Yowakutemo Katemasu,11,2014,Japanese,7.5,5197
Taste of Cat,4,2018,Korean,7.5,5200
Samee Chua Keun,18,2022,Thai,7.5,5202
Yasashii Jikan,11,2005,Japanese,7.5,5205
Alone in Love,16,2006,Korean,7.5,5206
Happy Noodle,40,2013,Chinese,7.5,5207
"Noble, My Love",20,2015,Korean,7.5,5209
The Sound of Your Heart: Reboot Season 2,10,2018,Korean,7.5,5210
Barb Ayuttitham,14,2021,Thai,7.5,5212
Ugly Duckling Series: Boy's Paradise,9,2015,Thai,7.5,5218
TOKYO AIRPORT - Tokyo Kuukou Kansei Hoanbu,10,2012,Japanese,7.5,5220
Medical Examiner Dr. Qin: Silent Evidence,30,2021,Chinese,7.5,5221
You Complete Me,40,2020,Chinese,7.5,5222
Joshi-teki Seikatsu,4,2018,Japanese,7.5,5226
Kaguya-sama: Love Is War - Mini,5,2021,Japanese,7.5,5227
Celestial Authority Academy,24,2021,Chinese,7.5,5230
Kikazaranai Koi ni wa Riyuu ga Atte,7,2021,Japanese,7.5,5233
Big Bet,8,2022,Korean,7.5,5234
Koi wa Deep ni,9,2021,Japanese,7.5,5236
Hunted,4,2022,Korean,7.5,5237
Senryokugai Sousakan,10,2014,Japanese,7.5,5238
Potato Star 2013QR3,120,2013,Korean,7.5,5239
Prosecution Elite,40,2023,Chinese,7.5,5241
"Ashita, Watashi wa Dareka no Kanojo",12,2022,Japanese,7.5,5242
Timeless Love,24,2021,Chinese,7.5,5243
Radio Romance,16,2018,Korean,7.5,5245
Konin Todoke ni Han wo Oshita dake desu ga,10,2021,Japanese,7.5,5247
Shining Just for You,25,2022,Chinese,7.5,5248
Woman of 9.9 Billion,32,2019,Korean,7.5,5251
Boys Over Flowers,25,2009,Korean,7.5,5252
Dae Jang Geum Is Watching,16,2018,Korean,7.5,5253
Chronicle of Life,37,2016,Chinese,7.5,5254
"Breakup Probation, A Week",10,2021,Korean,7.5,5260
She Is the One,24,2021,Chinese,7.5,5261
"To Love, To Heal",40,2018,Chinese,7.5,5263
Tree of Heaven,10,2006,Korean,7.5,5264
Ghost Mama Sousasen,9,2012,Japanese,7.5,5265
My Girlfriend,28,2019,Chinese,7.5,5268
Wonderful Life,16,2005,Korean,7.5,5269
Love for a Thousand More,10,2016,Korean,7.5,5270
The Myth,50,2010,Chinese,7.5,5273
Dok Ruk Rim Tang,29,2010,Thai,7.5,5278
Secret Investigation Record,12,2010,Korean,7.5,5281
Poisonous Passion,15,2022,Thai,7.5,5282
Skip Beat!,15,2011,Taiwanese,7.5,5284
My Healing Love,80,2018,Korean,7.5,5285
Koe Girl,10,2018,Japanese,7.5,5286
Shijukara,12,2022,Japanese,7.5,5287
Men with Sword,30,2016,Chinese,7.5,5288
Ameiro Paradox,8,2022,Japanese,7.5,5289
Hi My Sweetheart,14,2009,Taiwanese,7.5,5290
Shiranakute Ii Koto,10,2020,Japanese,7.5,5294
Proud of Love Season 2,18,2017,Chinese,7.5,5296
Maid Escort,24,2021,Chinese,7.5,5297
Ye Cheng,16,2023,Chinese,7.5,5298
Tokyo Love Story,11,1991,Japanese,7.5,5299
"Soshite, Dare mo Inaku Natta",9,2016,Japanese,7.5,5300
"Yameru Toki mo, Sukoyaka Naru Toki mo",10,2020,Japanese,7.5,5303
Stand by Me,20,2023,Chinese,7.5,5305
Not a Robot,12,2019,Korean,7.5,5307
H2: Kimi to Ita Hibi,11,2005,Japanese,7.5,5310
A Clear Midsummer Night,46,2013,Chinese,7.5,5311
Tenchuu-Yami no Shiokinin,8,2014,Japanese,7.5,5313
Kamen Teacher,12,2013,Japanese,7.5,5314
Me Always You,24,2021,Thai,7.5,5315
Led Astray by Love,24,2022,Chinese,7.5,5318
I Know Your Secret,34,2019,Chinese,7.5,5320
U-Prince: The Foxy Pilot,4,2016,Thai,7.5,5321
Have a Crush on You,36,2023,Chinese,7.5,5322
Watashi ga Renai Dekinai Riyuu,10,2011,Japanese,7.5,5324
Atami no Sousakan,8,2010,Japanese,7.5,5326
Zero: Ikkaku Senkin Game,10,2018,Japanese,7.5,5327
Hellbound,6,2021,Korean,7.5,5328
Love Playlist Pilot,2,2017,Korean,7.5,5329
"I""s",13,2018,Japanese,7.5,5330
Demi-Gods and Semi-Devils,50,2021,Chinese,7.5,5331
Glass Slippers,40,2002,Korean,7.5,5332
Rewriting Destiny,24,2022,Chinese,7.5,5334
My Bubble Tea,13,2020,Thai,7.5,5335
Notification,8,2018,Thai,7.5,5337
Cry Me A River of Stars,24,2021,Chinese,7.5,5340
The Undateables,32,2018,Korean,7.5,5342
Woman with a Suitcase,16,2016,Korean,7.5,5344
Brother Beat,11,2005,Japanese,7.5,5347
Nazotoki wa Dinner no Ato de,10,2011,Japanese,7.5,5348
Aono-kun ni Sawaritai kara Shinitai,10,2022,Japanese,7.5,5351
It's Okay to Be Sensitive Season 3,8,2020,Korean,7.5,5352
Mukodono!,12,2001,Japanese,7.5,5353
No Regrets in Life,12,2022,Taiwanese,7.5,5354
Youths in the Breeze,24,2020,Chinese,7.5,5355
Crazy for You,16,2007,Korean,7.5,5356
Project S: Shoot! I Love You,8,2017,Thai,7.5,5357
Re-Feel,8,2019,Korean,7.5,5361
"Moshimo, Ikemen Dake no Koukou ga Attara",10,2022,Japanese,7.5,5363
The Return of Iljimae,24,2009,Korean,7.5,5364
Rock 'n' Road,16,2014,Taiwanese,7.5,5365
Warm Meet You,24,2022,Chinese,7.5,5367
Monstrous,6,2022,Korean,7.5,5368
Hua Jai Rua Puang,20,2013,Thai,7.5,5370
Family: The Unbreakable Bond,12,2023,Korean,7.5,5372
Fah Fak Ruk,15,2020,Thai,7.5,5373
Risky Romance,32,2018,Korean,7.5,5374
Pure,3,2019,Japanese,7.5,5376
Love Kome no Okite: Kojirase Joshi to Toshishita Danshi,12,2021,Japanese,7.5,5377
Aquarium Girl,7,2016,Japanese,7.5,5379
Gold Panning,12,2022,Chinese,7.5,5380
Plerng Naree,12,2016,Thai,7.5,5383
Xuan-Yuan Sword: Han Cloud,58,2017,Chinese,7.5,5384
Ton Ruk Rim Rua,11,2013,Thai,7.5,5387
